agent_id,language_proficiency,preferred_medium,interaction_count,change_in_medium
1,4,Video,97,6
2,5,Voice,114,3
3,3,Text,105,9
4,5,Video,103,9
5,5,Voice,87,4
6,2,Voice,81,3
7,3,Text,107,7
8,3,Voice,105,6
9,3,Text,113,5
10,5,Video,95,7
11,4,Video,92,9
12,3,Voice,81,5
13,5,Voice,108,7
14,2,Text,101,7
15,4,Video,105,4
16,2,Text,101,7
17,4,Voice,88,8
18,5,Video,92,6
19,1,Voice,101,2
20,4,Video,86,7
21,2,Text,101,5
22,5,Video,110,5
23,4,Video,101,6
24,1,Text,128,9
25,1,Voice,72,3
26,3,Video,99,6
27,3,Voice,91,3
28,2,Text,107,7
29,4,Video,96,5
30,4,Voice,128,9
31,3,Voice,93,6
32,4,Voice,107,4
33,4,Voice,97,6
34,1,Voice,111,4
35,3,Text,108,11
36,5,Voice,103,5
37,3,Text,104,3
38,5,Voice,99,8
39,1,Voice,89,7
40,2,Text,108,8
41,4,Video,97,6
42,1,Text,79,10
43,4,Video,114,8
44,2,Text,92,11
45,2,Text,75,6
46,1,Text,129,5
47,2,Voice,78,3
48,5,Video,120,8
49,2,Text,107,7
50,4,Video,116,7
51,4,Voice,118,6
52,4,Voice,109,8
53,4,Voice,92,7
54,5,Voice,101,5
55,3,Text,90,0
56,1,Text,90,4
57,4,Video,103,7
58,2,Text,99,6
59,4,Voice,110,7
60,2,Text,106,3
61,2,Text,121,3
62,4,Video,112,7
63,5,Video,95,3
64,2,Voice,110,8
65,2,Text,99,9
66,4,Video,97,10
67,2,Voice,116,8
68,2,Text,121,7
69,4,Video,99,7
70,4,Video,79,4
71,1,Text,76,8
72,5,Video,106,7
73,5,Video,97,10
74,2,Text,112,6
75,5,Video,108,6
76,2,Text,117,5
77,1,Text,102,10
78,4,Voice,111,8
79,4,Video,101,6
80,4,Video,100,9
81,5,Video,91,7
82,1,Text,85,7
83,5,Voice,108,5
84,5,Video,94,4
85,1,Text,112,7
86,1,Voice,87,6
87,1,Text,119,6
88,1,Voice,88,9
89,4,Video,112,5
90,3,Video,112,4
91,3,Text,93,5
92,1,Text,113,3
93,3,Video,78,3
94,3,Video,111,6
95,1,Text,97,6
96,3,Text,87,7
97,5,Voice,78,7
98,2,Text,92,5
99,2,Voice,109,6
100,1,Voice,101,8
101,4,Video,97,6
102,1,Text,97,8
103,4,Video,93,7
104,2,Text,97,8
105,1,Voice,108,4
106,5,Video,97,10
107,3,Text,96,6
108,4,Video,74,8
109,3,Video,93,6
110,3,Voice,94,5
111,1,Voice,98,2
112,3,Voice,91,8
113,5,Voice,95,9
114,3,Voice,102,7
115,1,Text,113,3
116,5,Voice,102,6
117,2,Text,100,3
118,3,Video,110,7
119,1,Text,79,2
120,2,Text,95,9
121,2,Text,116,10
122,4,Video,110,7
123,5,Video,109,7
124,3,Video,101,3
125,1,Voice,96,5
126,4,Video,73,5
127,5,Video,96,6
128,4,Voice,110,7
129,5,Video,86,5
130,5,Voice,100,4
131,3,Text,92,3
132,5,Video,83,7
133,4,Video,95,6
134,5,Voice,88,4
135,3,Voice,94,6
136,3,Video,94,8
137,4,Video,108,5
138,2,Voice,99,6
139,2,Voice,86,4
140,5,Video,92,8
141,1,Voice,95,4
142,5,Voice,79,7
143,4,Video,101,8
144,4,Video,95,6
145,4,Video,107,7
146,4,Voice,95,4
147,4,Voice,106,4
148,3,Text,91,7
149,2,Text,118,4
150,4,Video,88,6
151,1,Voice,95,5
152,1,Text,101,7
153,1,Text,115,4
154,1,Text,113,4
155,3,Text,105,4
156,1,Text,101,6
157,4,Video,93,9
158,5,Voice,96,5
159,1,Text,94,4
160,3,Text,117,7
161,3,Voice,121,5
162,1,Text,94,6
163,5,Video,85,4
164,1,Text,105,6
165,3,Voice,98,5
166,2,Voice,89,7
167,4,Video,98,7
168,3,Voice,96,6
169,1,Voice,97,4
170,4,Voice,121,5
171,1,Text,103,4
172,1,Text,101,8
173,2,Voice,92,7
174,4,Video,94,7
175,4,Video,97,7
176,2,Text,115,4
177,3,Video,100,8
178,1,Text,98,7
179,5,Video,109,4
180,1,Text,94,3
181,1,Voice,105,7
182,3,Voice,80,4
183,1,Text,86,6
184,2,Text,117,4
185,2,Voice,108,3
186,4,Video,103,7
187,5,Video,112,7
188,1,Text,78,8
189,1,Text,103,8
190,3,Text,107,7
191,2,Text,72,5
192,5,Voice,108,9
193,4,Video,112,4
194,2,Text,107,8
195,4,Voice,103,8
196,3,Text,129,5
197,3,Video,92,6
198,1,Voice,89,7
199,5,Voice,89,5
200,4,Voice,102,6
201,2,Voice,113,8
202,3,Voice,110,6
203,1,Text,80,10
204,1,Voice,102,2
205,4,Voice,100,4
206,3,Voice,103,7
207,5,Video,120,6
208,3,Video,101,5
209,4,Video,98,7
210,4,Voice,96,4
211,3,Text,97,9
212,4,Video,101,1
213,3,Video,121,6
214,2,Voice,94,7
215,3,Video,89,6
216,3,Video,103,10
217,4,Video,101,7
218,4,Voice,117,6
219,1,Voice,96,8
220,1,Text,89,6
221,2,Text,111,4
222,1,Text,93,8
223,3,Voice,94,5
224,4,Voice,106,5
225,1,Text,93,6
226,1,Text,102,4
227,2,Voice,99,5
228,2,Text,100,7
229,3,Voice,92,9
230,4,Voice,95,5
231,2,Voice,113,4
232,1,Text,109,7
233,4,Video,94,8
234,4,Video,83,4
235,1,Voice,100,8
236,2,Text,110,4
237,1,Text,97,7
238,4,Video,91,8
239,5,Video,110,10
240,5,Voice,119,2
241,3,Voice,106,7
242,1,Voice,105,5
243,1,Text,104,9
244,3,Voice,105,5
245,3,Text,101,7
246,3,Video,81,7
247,4,Voice,100,7
248,1,Text,104,6
249,4,Video,91,7
250,3,Video,99,5
251,1,Text,76,9
252,4,Video,119,7
253,4,Voice,109,9
254,3,Voice,105,4
255,1,Text,105,3
256,3,Text,75,8
257,1,Text,114,2
258,5,Video,91,4
259,2,Text,119,10
260,2,Voice,101,5
261,2,Voice,87,5
262,3,Video,108,6
263,5,Video,113,9
264,1,Text,86,6
265,4,Voice,94,6
266,1,Text,90,5
267,4,Video,97,10
268,1,Text,81,9
269,5,Voice,93,5
270,4,Video,95,4
271,3,Voice,115,4
272,1,Text,82,5
273,1,Text,115,6
274,4,Video,111,10
275,3,Video,70,4
276,3,Text,88,3
277,5,Video,102,9
278,3,Text,102,5
279,3,Voice,105,3
280,3,Text,100,6
281,2,Voice,93,4
282,5,Video,107,7
283,1,Voice,118,6
284,4,Voice,97,4
285,1,Text,101,5
286,5,Voice,125,7
287,4,Video,93,6
288,5,Video,96,8
289,3,Video,87,7
290,4,Video,101,4
291,3,Voice,109,7
292,1,Text,108,11
293,1,Text,107,7
294,4,Video,95,5
295,4,Voice,92,5
296,5,Voice,104,11
297,5,Voice,94,4
298,3,Video,104,9
299,4,Voice,101,4
300,1,Text,84,7
301,5,Voice,99,7
302,5,Voice,112,7
303,1,Voice,106,5
304,5,Video,85,7
305,3,Voice,110,4
306,4,Video,86,8
307,1,Text,124,5
308,4,Video,113,10
309,5,Voice,110,3
310,5,Video,96,7
311,1,Text,108,6
312,3,Text,106,7
313,2,Text,93,7
314,1,Text,109,5
315,2,Text,95,2
316,2,Text,102,7
317,3,Video,102,5
318,2,Voice,101,5
319,2,Text,92,9
320,3,Text,109,6
321,2,Text,115,4
322,2,Text,96,7
323,2,Voice,101,4
324,1,Text,108,5
325,1,Voice,109,8
326,1,Voice,92,8
327,3,Video,97,8
328,5,Voice,100,7
329,2,Voice,109,6
330,2,Text,100,7
331,3,Video,103,5
332,2,Text,99,8
333,1,Text,91,4
334,5,Voice,100,5
335,4,Video,85,3
336,2,Voice,93,6
337,1,Text,80,2
338,4,Video,107,2
339,5,Voice,99,4
340,4,Voice,115,7
341,1,Text,97,4
342,4,Voice,102,8
343,3,Voice,98,5
344,4,Video,100,7
345,2,Text,87,5
346,2,Text,123,6
347,3,Voice,91,8
348,1,Text,98,4
349,2,Text,115,6
350,5,Voice,82,6
351,2,Voice,101,4
352,2,Text,109,8
353,1,Text,103,8
354,4,Voice,96,9
355,2,Text,92,6
356,3,Text,95,5
357,4,Voice,122,3
358,5,Voice,94,7
359,1,Text,84,4
360,5,Voice,89,7
361,4,Video,85,7
362,4,Voice,90,6
363,4,Voice,100,8
364,5,Video,92,6
365,4,Voice,113,5
366,5,Video,88,8
367,4,Video,114,6
368,3,Voice,103,9
369,4,Video,103,2
370,5,Voice,91,5
371,2,Text,105,6
372,4,Voice,105,4
373,2,Text,95,6
374,3,Text,106,8
375,1,Text,75,7
376,3,Text,106,8
377,4,Video,88,8
378,2,Voice,93,4
379,2,Voice,108,6
380,5,Video,107,7
381,2,Text,104,7
382,5,Voice,95,6
383,1,Text,102,5
384,4,Voice,109,6
385,5,Video,99,6
386,1,Text,94,4
387,2,Text,88,5
388,2,Text,86,5
389,1,Text,84,5
390,2,Voice,122,6
391,1,Voice,91,8
392,5,Video,102,7
393,5,Voice,95,6
394,1,Text,107,8
395,5,Video,89,8
396,5,Video,104,3
397,5,Voice,106,5
398,3,Text,100,5
399,4,Video,110,9
400,2,Text,87,4
401,3,Text,100,6
402,5,Voice,74,6
403,1,Text,97,7
404,5,Video,88,9
405,4,Voice,82,6
406,5,Video,86,8
407,1,Text,76,5
408,4,Video,103,10
409,5,Voice,106,7
410,4,Video,97,9
411,2,Text,120,7
412,2,Voice,113,6
413,5,Video,107,5
414,4,Video,108,7
415,1,Voice,121,8
416,5,Voice,119,9
417,2,Voice,135,7
418,2,Text,101,2
419,5,Video,83,10
420,4,Video,98,2
421,2,Text,105,9
422,4,Video,117,8
423,2,Text,105,3
424,2,Text,78,6
425,3,Video,100,7
426,2,Voice,101,5
427,1,Text,106,6
428,5,Video,94,7
429,5,Voice,96,8
430,4,Video,90,6
431,2,Text,73,5
432,1,Text,95,8
433,4,Voice,108,7
434,3,Video,123,11
435,4,Voice,105,6
436,4,Video,95,7
437,2,Voice,100,5
438,3,Video,76,4
439,4,Video,120,3
440,1,Text,87,8
441,1,Voice,77,7
442,5,Video,112,8
443,3,Voice,112,5
444,3,Voice,109,5
445,5,Video,102,3
446,4,Voice,122,6
447,3,Video,113,6
448,1,Text,109,6
449,1,Text,104,6
450,2,Voice,76,6
451,3,Voice,72,8
452,4,Voice,83,10
453,5,Video,104,4
454,5,Video,96,9
455,4,Video,107,3
456,2,Voice,74,8
457,5,Voice,110,4
458,3,Video,95,8
459,2,Voice,111,0
460,3,Text,80,4
461,1,Voice,94,6
462,2,Text,99,11
463,5,Voice,113,5
464,2,Text,98,3
465,2,Voice,95,4
466,2,Text,122,4
467,2,Text,88,2
468,3,Text,95,7
469,1,Text,99,6
470,4,Video,108,6
471,2,Text,95,10
472,5,Voice,96,7
473,2,Text,113,4
474,5,Video,108,7
475,3,Video,102,8
476,5,Voice,85,2
477,4,Video,105,7
478,1,Text,116,2
479,5,Video,96,3
480,5,Voice,114,8
481,1,Text,120,5
482,4,Voice,101,4
483,2,Voice,98,9
484,5,Video,110,4
485,1,Text,106,9
486,3,Video,101,6
487,1,Text,114,9
488,3,Video,98,4
489,4,Video,86,4
490,2,Text,108,9
491,1,Text,115,4
492,5,Video,124,3
493,4,Voice,125,9
494,1,Text,100,5
495,5,Voice,94,4
496,1,Voice,105,8
497,3,Video,94,5
498,1,Text,98,7
499,1,Text,109,5
500,1,Text,106,7
