participant_id,language_proficiency,preferred_medium,team_role,interaction_frequency,time_in_team,change_in_medium_preference,collaboration_effectiveness
1,4,Video,Team Member,3,8,0,7.650253234901474
2,5,Video,Team Member,28,26,0,8.453955041605148
3,3,Voice,Team Member,38,32,1,3.8516138489890075
4,5,Voice,Team Member,15,11,1,6.173017131436856
5,5,Video,Team Member,36,1,0,0.00020518
6,2,Text,Team Member,3,15,0,5.503524836714523
7,3,Text,Manager,4,4,1,9.752363053924899
8,3,Text,Team Member,5,4,1,3.1226502716121143
9,3,Voice,Manager,26,28,0,5.947761242092461
10,5,Video,Team Member,25,10,1,7.622836576
11,4,Video,Team Member,10,11,0,6.089330209896426
12,3,Video,Team Member,8,23,1,4.184999704668394
13,5,Video,Team Member,12,3,0,1.5257557330953142
14,2,Text,Team Member,3,17,0,4.637013974582308
15,4,Voice,Team Member,27,22,0,2.9478420917859163
16,2,Text,Team Member,23,27,0,6.9592028876129755
17,4,Voice,Team Member,40,16,0,4.4191276771447665
18,5,Voice,Team Member,33,16,1,8.498797646073214
19,1,Text,Team Member,14,3,0,1.933224368931764
20,4,Video,Team Member,23,33,0,4.177201220535736
21,2,Text,Team Member,31,2,0,5.5750497639480825
22,5,Voice,Team Member,13,27,0,1.260146760282952
23,4,Voice,Manager,12,15,1,5.879100778344889
24,1,Text,Manager,35,7,1,2.909214053
25,1,Voice,Team Member,18,9,0,2.2953718014865956
26,3,Text,Manager,21,6,0,1.4191073972934476
27,3,Video,Manager,45,12,0,3.4988192563351115
28,2,Text,Team Member,47,30,1,9.289824151942067
29,4,Video,Manager,42,20,0,0.31005859331058483
30,4,Video,Team Member,1,20,0,8.521562083079392
31,3,Text,Team Member,38,27,0,3.9736089778514083
32,4,Video,Team Member,41,20,1,5.616016387263846
33,4,Video,Team Member,42,7,0,5.128122969253716
34,1,Text,Team Member,47,30,0,9.257402616072337
35,3,Voice,Team Member,9,8,0,7.701292692057136
36,5,Voice,Team Member,23,2,0,9.848235353279492
37,3,Text,Team Member,14,14,0,7.944299516216974
38,5,Video,Manager,11,10,0,2.958884942066873
39,1,Text,Team Member,7,18,0,9.628836793593141
40,2,Text,Team Member,31,18,1,9.835657908079234
41,4,Video,Team Member,24,16,0,1.2309370361669947
42,1,Text,Team Member,26,5,0,9.010441837829772
43,4,Voice,Team Member,30,31,1,6.642021828931622
44,2,Text,Team Member,34,20,1,9.219937700331137
45,2,Voice,Team Member,46,23,1,9.157390202189868
46,1,Text,Team Member,38,32,1,8.913730311872168
47,2,Voice,Manager,5,17,0,8.852755936823788
48,5,Video,Team Member,5,13,0,1.1764623899321858
49,2,Text,Team Member,19,13,0,1.4351570827826199
50,4,Video,Team Member,38,17,1,1.1777941937696668
51,4,Video,Manager,28,15,0,0.9102908880028526
52,4,Voice,Team Member,26,26,0,3.532852850739884
53,4,Video,Team Member,42,28,0,6.839584143246422
54,5,Video,Team Member,23,30,1,3.5469261307258493
55,3,Text,Team Member,46,35,1,7.2030033327509475
56,1,Voice,Manager,49,22,1,8.202831250202028
57,4,Voice,Team Member,30,10,0,6.662147401
58,2,Text,Team Member,3,11,0,4.651047262829687
59,4,Video,Team Member,28,33,0,2.9551743959095687
60,2,Text,Team Member,33,6,0,1.2440336245523087
61,2,Text,Team Member,42,7,0,4.936518279113837
62,4,Video,Team Member,3,12,0,7.195989533698974
63,5,Voice,Manager,5,7,0,5.482432115040483
64,2,Text,Team Member,19,2,1,7.214819192904628
65,2,Text,Team Member,42,1,0,3.352196723435007
66,4,Video,Team Member,48,23,1,0.6679606305534802
67,2,Text,Team Member,1,25,0,7.710979260325766
68,2,Text,Team Member,38,18,0,2.197241118
69,4,Voice,Team Member,9,7,0,6.162850602360239
70,4,Video,Team Member,5,3,0,8.042927445547331
71,1,Text,Team Member,46,29,0,1.391100018446767
72,5,Video,Team Member,42,10,0,5.984947100132758
73,5,Video,Team Member,34,5,1,6.893743618400938
74,2,Text,Team Member,37,34,1,7.465308668189245
75,5,Voice,Team Member,33,8,0,1.476666111414876
76,2,Voice,Team Member,25,14,1,8.251161619793715
77,1,Text,Team Member,42,6,0,0.9414856615046996
78,4,Voice,Team Member,29,1,1,5.195834681568074
79,4,Video,Manager,25,33,0,4.434126962
80,4,Video,Manager,9,11,1,2.217660742355533
81,5,Video,Team Member,3,24,1,3.019307414472392
82,1,Text,Team Member,15,10,1,1.6443578328890185
83,5,Video,Team Member,4,23,0,4.257261948212534
84,5,Video,Team Member,45,16,0,0.3551092757056018
85,1,Text,Team Member,38,16,0,8.889152752961554
86,1,Voice,Team Member,20,31,0,1.634873350365953
87,1,Text,Team Member,49,6,0,8.860177564559486
88,1,Text,Team Member,23,30,1,8.635774001340033
89,4,Voice,Team Member,37,1,0,4.5167720715768676
90,3,Text,Team Member,47,25,0,4.977257122150923
91,3,Voice,Team Member,8,21,0,3.019135405344814
92,1,Text,Team Member,37,35,0,9.968745999755303
93,3,Voice,Team Member,45,5,0,6.707721905902234
94,3,Voice,Team Member,33,12,0,9.518082859355522
95,1,Text,Team Member,33,5,0,4.147968443881781
